stock,arima_sharpe,lstm_sharpe,sharpe_winner,sharpe_diff,arima_mae,lstm_mae,mae_winner
ABSA,-2.150830349711656,1.8231602437083057,LSTM,-3.9739905934199617,0.09157820073536141,2.57758265953064,ARIMA
SCOM,-5.120451377464329,0.1106887550324402,LSTM,-5.231140132496769,0.3395576618731856,16.23278874842326,ARIMA
COOP,-1.1579389384476992,0.4188709185118677,LSTM,-1.576809856959567,0.09630997811324854,3.730636843363445,ARIMA
DTK,0.4041743668853159,-0.8340493401371395,ARIMA,1.2382237070224553,0.6720935116479136,174.654626566569,ARIMA
KCB,-4.522753112300178,0.725412460996159,LSTM,-5.248165573296337,0.340812189166647,2.427367800394694,ARIMA
NBK,-2.0844250013389534,-2.084425001338954,ARIMA,4.440892098500626e-16,0.0,11.874860649108884,ARIMA
NCBA,-0.5099986134008228,0.0328186441877544,LSTM,-0.5428172575885771,0.2597405954627171,19.204252166748045,ARIMA
KEGN,0.08934941909804728,0.1708634196897191,LSTM,-0.08151400059167183,0.056466666666666665,3.548272510019938,ARIMA
KPLC,0.3960849676766462,1.1506676966345255,LSTM,-0.7545827289578793,0.02244297173017754,7.117630272928873,ARIMA
BAMB,1.5965230875853735,0.0144121778273273,ARIMA,1.5821109097580461,0.4778109333929906,177.85005251057945,ARIMA
TOTL,2.3688104366159086,1.0354264828039383,ARIMA,1.3333839538119703,0.2900576763447112,1.0157271372477212,ARIMA
BRIT,4.597819763265462,0.3209130059228891,ARIMA,4.276906757342573,0.09090137201204657,8.666424089813232,ARIMA
CIC,-1.2292591842199265,0.0847729035735533,LSTM,-1.31403208779348,0.06421399254265679,4.221141323026021,ARIMA
EABL,-0.5433633206639139,-0.7460523969266167,ARIMA,0.20268907626270283,1.2361996942783424,82.65509450276693,ARIMA
SCBK,0.1484903912193103,-1.0516085867657867,ARIMA,1.200098977985097,0.5745841565665813,69.75495646158855,ARIMA
